rank,ticker,market_score,market_regime,ndx_direction,spy_direction,soxx_direction,dia_direction,top20_score,flow_score,direction_score,structure_score,price_score,index_score,current_price,call_wall,put_wall,support,resistance,call_gex,put_gex,net_gex,structure,price_location,gex_structure,wall_structure,index_bull,index_bear,index_neutral,decision_score,decision,reason,data_source
1,AAPL,67.64705882352942,MILD RISK-ON,BULLISH,NEUTRAL,BULLISH,BEARISH,88.6623096232052,92.01328194833631,57.09634187430776,68.93428820490658,70.0,70.0,335.9200134277344,337.5,335.0,335.0,337.5,2185213520.141903,-913213810.2343444,1271999709.9075584,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,2,1,1,72.34542944714218,🟡 관망,Very high option flow | Buy-side estimate | Call dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 70.5 | RANGE | NEAR SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 1 / NEUTRAL 1,STEP8_GEX_PROXY_INTENSITY
2,BE,67.64705882352942,MILD RISK-ON,BULLISH,NEUTRAL,BULLISH,BEARISH,88.28207484775315,93.36033611123835,57.12696147165333,62.825212707497585,70.0,70.0,266.6499938964844,270.0,265.0,265.0,270.0,96623499.7958565,-85437537.46429603,11185962.331560478,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,2,1,1,72.07740935759591,🟡 관망,Very high option flow | Buy-side estimate | Call dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 53.1 | RANGE | NEAR SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 1 / NEUTRAL 1,STEP8_GEX_PROXY_INTENSITY
3,GOOGL,67.64705882352942,MILD RISK-ON,BULLISH,NEUTRAL,BULLISH,BEARISH,89.08435631511334,92.23170941621532,57.19521208531574,64.8529124615769,70.0,70.0,342.3599853515625,342.5,340.0,340.0,342.5,981784705.7009232,-686060302.3102539,295724403.39066935,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,2,1,1,72.01167278198056,🟡 관망,Very high option flow | Buy-side estimate | Call dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 58.9 | RANGE | NEAR SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 1 / NEUTRAL 1,STEP8_GEX_PROXY_INTENSITY
4,NVDA,67.64705882352942,MILD RISK-ON,BULLISH,NEUTRAL,BULLISH,BEARISH,92.1792639745685,93.38291079169184,57.12667687707423,69.19992326139534,63.0,70.0,224.5800018310547,225.0,220.0,220.0,225.0,2975192513.571357,-1198437075.747622,1776755437.8237348,POSITIVE GEX STRUCTURE,ABOVE SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,2,1,1,71.67046716418322,🟡 관망,Very high option flow | Buy-side estimate | Call dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 71.3 | RANGE | ABOVE SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 1 / NEUTRAL 1,STEP8_GEX_PROXY_INTENSITY
5,LULU,67.64705882352942,MILD RISK-ON,BULLISH,NEUTRAL,BULLISH,BEARISH,94.80286481577576,92.388649894079,47.22849827615302,63.11448862574803,70.0,70.0,101.63999938964844,102.0,100.0,100.0,102.0,27818395.709920596,-23794127.118728988,4024268.5911916047,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,2,1,1,69.88372275603103,🟡 관망,Very high option flow | Buy-side estimate | Put dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 53.9 | RANGE | NEAR SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 1 / NEUTRAL 1,STEP8_GEX_PROXY_INTENSITY
6,CVS,67.64705882352942,MILD RISK-ON,BULLISH,NEUTRAL,BULLISH,BEARISH,87.67716143244013,93.09417782940524,57.29828893434722,35.69597541574864,66.0,70.0,85.05000305175781,87.0,85.0,85.0,87.0,15390277.924732406,-20650175.26630162,-5259897.341569215,NEGATIVE GEX STRUCTURE,NEAR SUPPORT | BELOW RESISTANCE,NEGATIVE GEX,RANGE,2,1,1,68.73221155050149,🟡 관망,Very high option flow | Buy-side estimate | Call dominant flow | NEGATIVE GEX STRUCTURE | Negative GEX 42.7 | RANGE | NEAR SUPPORT | BELOW RESISTANCE | Index alignment BULL 2 / BEAR 1 / NEUTRAL 1,STEP8_GEX_PROXY_INTENSITY
7,PLTR,67.64705882352942,MILD RISK-ON,BULLISH,NEUTRAL,BULLISH,BEARISH,89.12185450687335,92.594387676488,37.5,69.37330471684359,70.0,70.0,192.58999633789065,195.0,192.5,192.5,195.0,381678329.3720392,-150048753.45338142,231629575.91865775,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,2,1,1,68.61533915551225,🟡 관망,Very high option flow | Mixed directional flow | Call dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 71.8 | RANGE | NEAR SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 1 / NEUTRAL 1,STEP8_GEX_PROXY_INTENSITY
8,MSFT,67.64705882352942,MILD RISK-ON,BULLISH,NEUTRAL,BULLISH,BEARISH,89.71360738567064,91.9635967854288,37.513789446730286,68.94895670984745,70.0,70.0,497.9299926757813,500.0,490.0,490.0,500.0,2218466460.2067614,-925242280.991977,1293224179.2147844,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,2,1,1,68.41796452139388,🟡 관망,Very high option flow | Mixed directional flow | Call dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 70.6 | RANGE | NEAR SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 1 / NEUTRAL 1,STEP8_GEX_PROXY_INTENSITY
9,NEE,67.64705882352942,MILD RISK-ON,BULLISH,NEUTRAL,BULLISH,BEARISH,96.09606413227364,92.85965241141608,57.345574287996406,31.29279311154204,66.0,70.0,75.62000274658203,80.0,75.0,75.0,80.0,17487834.69634654,-40568337.69520329,-23080502.99885675,NEGATIVE GEX STRUCTURE,NEAR SUPPORT | BELOW RESISTANCE,NEGATIVE GEX,RANGE,2,1,1,68.24271903631339,🟡 관망,Very high option flow | Buy-side estimate | Call dominant flow | NEGATIVE GEX STRUCTURE | Negative GEX 30.1 | RANGE | NEAR SUPPORT | BELOW RESISTANCE | Index alignment BULL 2 / BEAR 1 / NEUTRAL 1,STEP8_GEX_PROXY_INTENSITY
10,AMZN,67.64705882352942,MILD RISK-ON,BULLISH,NEUTRAL,BULLISH,BEARISH,90.76229359777508,92.64020541696848,37.575581360886034,64.93430136576323,70.0,70.0,249.3800048828125,250.0,247.5,247.5,250.0,988003991.924688,-683802036.5158622,304201955.40882576,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,2,1,1,68.19800952770154,🟡 관망,Very high option flow | Mixed directional flow | Call dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 59.1 | RANGE | NEAR SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 1 / NEUTRAL 1,STEP8_GEX_PROXY_INTENSITY
11,MU,67.64705882352942,MILD RISK-ON,BULLISH,NEUTRAL,BULLISH,BEARISH,88.94416448278156,90.97085765301728,37.525444033140225,68.48877564144136,70.0,70.0,1080.530029296875,1100.0,1070.0,1070.0,1100.0,1584322191.5827522,-703387283.7502561,880934907.8324962,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,2,1,1,68.12609254873239,🟡 관망,Very high option flow | Mixed directional flow | Call dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 69.3 | RANGE | NEAR SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 1 / NEUTRAL 1,STEP8_GEX_PROXY_INTENSITY
