rank,ticker,market_score,market_regime,ndx_direction,spy_direction,soxx_direction,dia_direction,flow_score,direction_score,structure_score,price_score,index_score,decision_score,decision,reason,current_price,call_wall,put_wall,support,resistance,call_gex,put_gex,net_gex,structure,price_location,gex_structure,wall_structure,risk_reversal,rr_score,rr_call_strike,rr_call_dte,rr_call_premium,rr_put_strike,rr_put_dte,rr_put_premium,final_decision
1,MSTR,79.41176470588236,RISK-ON,BULLISH,BULLISH,NEUTRAL,NEUTRAL,91.61116858851202,57.10402080547355,69.76244624270652,70.0,70.0,74.68219387366983,🟡 관망,Strong market regime | Very high option flow | Buy-side estimate | Call dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 72.9 | RANGE | NEAR SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 0 / NEUTRAL 2,142.8000030517578,145.0,140.0,140.0,145.0,152213449.29147443,-56605049.51181533,95608399.77965908,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,BULLISH RISK-REVERSAL EST.,203.97994718421697,146.0,7.0,2415080.0,145.0,21.0,1020914.9999999998,🟡 관망
2,SLB,79.41176470588236,RISK-ON,BULLISH,BULLISH,NEUTRAL,NEUTRAL,91.34077054462657,57.34769534411284,72.54188708134308,66.0,70.0,74.34127335429,🟡 관망,Strong market regime | Very high option flow | Buy-side estimate | Call dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 80.8 | RANGE | NEAR SUPPORT | BELOW RESISTANCE | Index alignment BULL 2 / BEAR 0 / NEUTRAL 2,57.5099983215332,60.0,57.5,57.5,60.0,41218492.90977439,-9773059.816782665,31445433.09299173,POSITIVE GEX STRUCTURE,NEAR SUPPORT | BELOW RESISTANCE,POSITIVE GEX,RANGE,BULLISH RISK-REVERSAL EST.,168.5771717866379,47.5,14.0,29425460.000000004,47.0,7.0,237.5,🟡 관망
3,XOM,79.41176470588236,RISK-ON,BULLISH,BULLISH,NEUTRAL,NEUTRAL,88.52116191226868,57.11014210012675,67.97288354417941,63.0,70.0,72.68196019368693,🟡 관망,Strong market regime | Very high option flow | Buy-side estimate | Call dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 67.8 | RANGE | ABOVE SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 0 / NEUTRAL 2,159.47000122070312,160.0,155.0,155.0,160.0,169574042.40488058,-80610193.12946446,88963849.27541612,POSITIVE GEX STRUCTURE,ABOVE SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,BULLISH RISK-REVERSAL EST.,176.50713367986577,160.0,28.0,12757.499999999998,157.5,14.0,62060.99999999999,🟡 관망
4,ECHO,79.41176470588236,RISK-ON,BULLISH,BULLISH,NEUTRAL,NEUTRAL,90.00422546479466,47.10319727449182,64.35584671384451,63.0,70.0,70.68963343365796,🟡 관망,Strong market regime | Very high option flow | Buy-side estimate | Put dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 57.4 | RANGE | ABOVE SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 0 / NEUTRAL 2,89.80000305175781,90.0,85.0,85.0,90.0,24839513.137212638,-18400792.639305662,6438720.497906968,POSITIVE GEX STRUCTURE,ABOVE SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,BULLISH RISK-REVERSAL EST.,154.96256036474728,87.0,7.0,5312.5,70.0,14.0,22325.0,🟡 관망
5,NVDA,79.41176470588236,RISK-ON,BULLISH,BULLISH,NEUTRAL,NEUTRAL,91.105512352105,37.506109471297925,70.2477873569836,70.0,70.0,70.68473165916066,🟡 관망,Strong market regime | Very high option flow | Mixed directional flow | Call dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 74.3 | RANGE | NEAR SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 0 / NEUTRAL 2,230.3600006103516,232.5,230.0,230.0,232.5,2409515780.475583,-834339212.2067702,1575176568.268813,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,BULLISH RISK-REVERSAL EST.,202.6014594258192,235.0,5.0,9336961.000000002,220.0,7.0,2538376.0,🟡 관망
6,SOXL,79.41176470588236,RISK-ON,BULLISH,BULLISH,NEUTRAL,NEUTRAL,92.79579462813798,37.5,65.58311780956154,66.0,70.0,70.03961337916712,🟡 관망,Strong market regime | Very high option flow | Mixed directional flow | Call dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 61.0 | RANGE | NEAR SUPPORT | BELOW RESISTANCE | Index alignment BULL 2 / BEAR 0 / NEUTRAL 2,117.27999877929688,120.0,115.0,115.0,120.0,50238979.19121464,-32185178.749000248,18053800.44221439,POSITIVE GEX STRUCTURE,NEAR SUPPORT | BELOW RESISTANCE,POSITIVE GEX,RANGE,BULLISH RISK-REVERSAL EST.,196.1860416853137,114.0,7.0,26897000.0,110.0,7.0,387450.0,🟡 관망
7,SMCI,79.41176470588236,RISK-ON,BULLISH,BULLISH,NEUTRAL,NEUTRAL,92.54778274548976,37.5,69.59365631689329,63.0,70.0,69.92866425923825,🟡 관망,Strong market regime | Very high option flow | Mixed directional flow | Call dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 72.4 | RANGE | ABOVE SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 0 / NEUTRAL 2,39.59000015258789,40.0,35.0,35.0,40.0,33086076.81569208,-12606331.338427631,20479745.47726445,POSITIVE GEX STRUCTURE,ABOVE SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,BULLISH RISK-REVERSAL EST.,204.2531913708773,40.0,7.0,3664332.0,39.5,14.0,177590.0,🟡 관망
8,AMD,79.41176470588236,RISK-ON,BULLISH,BULLISH,NEUTRAL,NEUTRAL,90.23167877340082,37.5,64.58638185500651,70.0,70.0,69.89891082002734,🟡 관망,Strong market regime | Very high option flow | Mixed directional flow | Call dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 58.1 | RANGE | NEAR SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 0 / NEUTRAL 2,477.5700073242188,480.0,470.0,470.0,480.0,421617520.1185613,-304008764.3090589,117608755.80950242,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,BULLISH RISK-REVERSAL EST.,200.7046454834832,480.0,5.0,7205092.5,477.5,14.0,533970.0000000001,🟡 관망
9,AMZN,79.41176470588236,RISK-ON,BULLISH,BULLISH,NEUTRAL,NEUTRAL,91.3818811121442,37.53668446242029,68.0229594102467,63.0,70.0,69.48745605272126,🟡 관망,Strong market regime | Very high option flow | Mixed directional flow | Call dominant flow | POSITIVE GEX STRUCTURE | Positive GEX 67.9 | RANGE | ABOVE SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 0 / NEUTRAL 2,258.510009765625,260.0,250.0,250.0,260.0,952856407.8716646,-449996880.1852544,502859527.6864103,POSITIVE GEX STRUCTURE,ABOVE SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,BULLISH RISK-REVERSAL EST.,197.00352028273005,265.0,21.0,230325.0,262.5,7.0,1536375.0,🟡 관망
10,TSLA,79.41176470588236,RISK-ON,BULLISH,BULLISH,NEUTRAL,NEUTRAL,90.76959817456172,47.13835863601021,37.57329048137075,70.0,70.0,69.25975326015603,🟡 관망,Strong market regime | Very high option flow | Buy-side estimate | Put dominant flow | NEGATIVE GEX STRUCTURE | Negative GEX 48.1 | RANGE | NEAR SUPPORT | NEAR RESISTANCE | Index alignment BULL 2 / BEAR 0 / NEUTRAL 2,354.0799865722656,355.0,350.0,350.0,355.0,697739131.3334329,-753871635.5205646,-56132504.18713164,NEGATIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,NEGATIVE GEX,RANGE,BULLISH RISK-REVERSAL EST.,206.8671596910808,362.5,5.0,3639152.0,355.0,5.0,14339519.999999998,🟡 관망
11,PDD,79.41176470588236,RISK-ON,BULLISH,BULLISH,NEUTRAL,NEUTRAL,91.04441363106471,47.23739482816912,34.98490073741744,59.0,70.0,67.43942538831823,🟡 관망,Strong market regime | Very high option flow | Buy-side estimate | Put dominant flow | NEGATIVE GEX STRUCTURE | Negative GEX 40.7 | RANGE | ABOVE SUPPORT | BELOW RESISTANCE | Index alignment BULL 2 / BEAR 0 / NEUTRAL 2,82.20999908447266,85.0,80.0,80.0,85.0,39752440.04149362,-57988698.24372488,-18236258.20223126,NEGATIVE GEX STRUCTURE,ABOVE SUPPORT | BELOW RESISTANCE,NEGATIVE GEX,RANGE,BULLISH RISK-REVERSAL EST.,161.6712020058789,75.0,21.0,29900.0,74.0,7.0,472.5,🟡 관망
