symbol,current_price,option_rows_analyzed,expiration_count,dte_min,dte_max,call_count,put_count,call_premium,put_premium,call_put_imbalance,structure_bias,call_wall,put_wall,total_gex,call_gex,put_gex,top_calls,top_puts,risk_reversal,rr_score,rr_call_strike,rr_call_dte,rr_call_premium,rr_put_strike,rr_put_dte,rr_put_premium
MSTR,153.9199981689453,1786,10,0,119,932,854,784615132.5,121678324.5,0.7314814013933679,CALL DOMINANT,150.0,140.0,,,,"$155.00 CALL | DTE 7 | Vol 35926 | OI 1080 | IV 66.9% | Delta +0.49 | Gamma 0.0280 | Premium $20,028,745 | BUY EST. | Conf 1.00 || $155.00 CALL | DTE 28 | Vol 11248 | OI 2162 | IV 70.0% | Delta +0.53 | Gamma 0.0133 | Premium $13,047,680 | BUY EST. | Conf 1.00 || $144.00 CALL | DTE 21 | Vol 3804 | OI 69 | IV 68.6% | Delta +0.69 | Gamma 0.0139 | Premium $5,981,790 | SELL EST. | Conf 1.00 || $146.00 CALL | DTE 14 | Vol 1274 | OI 159 | IV 67.4% | Delta +0.68 | Gamma 0.0175 | Premium $1,621,165 | SELL EST. | Conf 1.00 || $157.50 CALL | DTE 7 | Vol 22187 | OI 346 | IV 68.0% | Delta +0.43 | Gamma 0.0270 | Premium $10,261,488 | SELL EST. | Conf 0.80","$155.00 PUT | DTE 35 | Vol 1151 | OI 52 | IV 66.8% | Delta -0.46 | Gamma 0.0125 | Premium $1,548,095 | BUY EST. | Conf 1.00 || $146.00 PUT | DTE 7 | Vol 1950 | OI 15 | IV 63.6% | Delta -0.26 | Gamma 0.0238 | Premium $494,325 | SELL EST. | Conf 1.00 || $145.00 PUT | DTE 7 | Vol 8486 | OI 579 | IV 63.4% | Delta -0.23 | Gamma 0.0226 | Premium $1,888,135 | SELL EST. | Conf 0.80 || $175.00 PUT | DTE 7 | Vol 111 | OI 1 | IV 76.1% | Delta -0.88 | Gamma 0.0126 | Premium $246,975 | BUY EST. | Conf 0.97 || $165.00 PUT | DTE 14 | Vol 94 | OI 1 | IV 70.1% | Delta -0.67 | Gamma 0.0172 | Premium $146,875 | BUY EST. | Conf 1.00",BULLISH RISK-REVERSAL EST.,204.085892960443,155.0,7.0,20028745.0,146.0,7.0,494325.0
SPY,761.6900024414062,5984,19,0,161,3079,2905,2036446120.0,384447164.0,0.6823923082104763,CALL DOMINANT,765.0,761.0,,,,"$759.00 CALL | DTE 3 | Vol 39348 | OI 1843 | IV 9.8% | Delta +0.67 | Gamma 0.0535 | Premium $18,159,102 | BUY EST. | Conf 1.00 || $760.00 CALL | DTE 3 | Vol 75144 | OI 4628 | IV 9.1% | Delta +0.62 | Gamma 0.0604 | Premium $28,554,720 | SELL EST. | Conf 1.00 || $761.00 CALL | DTE 3 | Vol 56689 | OI 2374 | IV 8.5% | Delta +0.57 | Gamma 0.0671 | Premium $17,290,145 | SELL EST. | Conf 1.00 || $758.00 CALL | DTE 3 | Vol 12529 | OI 1378 | IV 10.5% | Delta +0.71 | Gamma 0.0473 | Premium $6,853,363 | BUY EST. | Conf 1.00 || $762.00 CALL | DTE 3 | Vol 62520 | OI 2399 | IV 8.0% | Delta +0.50 | Gamma 0.0726 | Premium $14,817,240 | BUY EST. | Conf 1.00","$762.00 PUT | DTE 3 | Vol 31729 | OI 2113 | IV 4.1% | Delta -0.51 | Gamma 0.1404 | Premium $4,648,298 | SELL EST. | Conf 1.00 || $761.00 PUT | DTE 3 | Vol 49646 | OI 2131 | IV 4.6% | Delta -0.38 | Gamma 0.1196 | Premium $5,684,467 | SELL EST. | Conf 1.00 || $763.00 PUT | DTE 3 | Vol 13123 | OI 3858 | IV 3.5% | Delta -0.67 | Gamma 0.1512 | Premium $2,460,562 | SELL EST. | Conf 1.00 || $760.00 PUT | DTE 3 | Vol 89829 | OI 4575 | IV 5.1% | Delta -0.29 | Gamma 0.0978 | Premium $8,039,696 | SELL EST. | Conf 1.00 || $759.00 PUT | DTE 3 | Vol 68301 | OI 2157 | IV 5.5% | Delta -0.22 | Gamma 0.0776 | Premium $4,883,522 | SELL EST. | Conf 1.00",BULLISH RISK-REVERSAL EST.,210.25135230971284,762.0,3.0,14817240.0,761.0,3.0,5684467.0
NEE,80.47000122070312,414,11,0,154,217,197,408788651.0,4154112.5,0.9798804441332702,CALL DOMINANT,85.0,80.0,,,,"$80.00 CALL | DTE 28 | Vol 1383 | OI 353 | IV 22.8% | Delta +0.57 | Gamma 0.0773 | Premium $303,568 | BUY EST. | Conf 0.90 || $65.00 CALL | DTE 7 | Vol 500 | OI 74 | IV 123.0% | Delta +0.91 | Gamma 0.0118 | Premium $812,500 | BUY EST. | Conf 1.00 || $40.00 CALL | DTE 119 | Vol 96000 | OI 25375 | IV 75.1% | Delta +0.97 | Gamma 0.0020 | Premium $393,600,000 | BUY EST. | Conf 1.00 || $82.50 CALL | DTE 28 | Vol 402 | OI 866 | IV 21.3% | Delta +0.37 | Gamma 0.0794 | Premium $41,205 | BUY EST. | Conf 1.00 || $75.00 CALL | DTE 28 | Vol 40 | OI 16 | IV 40.8% | Delta +0.76 | Gamma 0.0342 | Premium $25,700 | SELL EST. | Conf 0.81","$77.50 PUT | DTE 63 | Vol 1189 | OI 329 | IV 21.9% | Delta -0.30 | Gamma 0.0473 | Premium $181,322 | BUY EST. | Conf 0.83 || $82.50 PUT | DTE 63 | Vol 1100 | OI 860 | IV 21.5% | Delta -0.56 | Gamma 0.0549 | Premium $420,750 | UNKNOWN | Conf 0.00 || $75.00 PUT | DTE 28 | Vol 15872 | OI 401 | IV 21.8% | Delta -0.11 | Gamma 0.0378 | Premium $436,480 | UNKNOWN | Conf 0.00 || $90.00 PUT | DTE 28 | Vol 20 | OI 3 | IV 43.5% | Delta -0.80 | Gamma 0.0288 | Premium $18,550 | SELL EST. | Conf 0.86 || $82.50 PUT | DTE 119 | Vol 107 | OI 1328 | IV 20.9% | Delta -0.52 | Gamma 0.0414 | Premium $52,698 | SELL EST. | Conf 1.00",BULLISH RISK-REVERSAL EST.,182.50952260526282,80.0,28.0,303568.5,78.0,14.0,7416.499999999999
NVDA,222.2700042724609,2129,13,0,154,1131,998,706935714.5,132814377.0,0.6836811848087783,CALL DOMINANT,220.0,220.0,,,,"$222.50 CALL | DTE 5 | Vol 10485 | OI 1718 | IV 24.9% | Delta +0.50 | Gamma 0.0616 | Premium $2,778,525 | SELL EST. | Conf 1.00 || $225.00 CALL | DTE 3 | Vol 35633 | OI 7110 | IV 18.2% | Delta +0.24 | Gamma 0.0845 | Premium $2,262,696 | BUY EST. | Conf 0.86 || $207.50 CALL | DTE 7 | Vol 603 | OI 169 | IV 35.0% | Delta +0.93 | Gamma 0.0128 | Premium $859,275 | SELL EST. | Conf 1.00 || $230.00 CALL | DTE 7 | Vol 57529 | OI 26515 | IV 25.9% | Delta +0.18 | Gamma 0.0330 | Premium $4,889,965 | BUY EST. | Conf 1.00 || $225.00 CALL | DTE 14 | Vol 5329 | OI 8084 | IV 29.0% | Delta +0.44 | Gamma 0.0312 | Premium $2,104,955 | SELL EST. | Conf 1.00","$232.50 PUT | DTE 7 | Vol 909 | OI 130 | IV 29.4% | Delta -0.86 | Gamma 0.0250 | Premium $929,452 | BUY EST. | Conf 1.00 || $232.50 PUT | DTE 3 | Vol 780 | OI 1 | IV 63.8% | Delta -0.77 | Gamma 0.0235 | Premium $834,600 | BUY EST. | Conf 1.00 || $225.00 PUT | DTE 3 | Vol 2402 | OI 1104 | IV 22.6% | Delta -0.72 | Gamma 0.0745 | Premium $801,067 | BUY EST. | Conf 0.82 || $217.50 PUT | DTE 3 | Vol 21762 | OI 2365 | IV 21.1% | Delta -0.12 | Gamma 0.0479 | Premium $892,242 | BUY EST. | Conf 1.00 || $217.50 PUT | DTE 7 | Vol 10566 | OI 3253 | IV 27.8% | Delta -0.27 | Gamma 0.0389 | Premium $1,759,239 | BUY EST. | Conf 0.89",BULLISH RISK-REVERSAL EST.,197.65732749556287,230.0,7.0,4889965.0,225.0,5.0,364287.5
AAPL,336.1300048828125,1508,13,0,154,815,693,347614369.0,59131740.5,0.7092449608297975,CALL DOMINANT,340.0,320.0,,,,"$332.50 CALL | DTE 5 | Vol 1032 | OI 496 | IV 19.4% | Delta +0.70 | Gamma 0.0457 | Premium $541,800 | BUY EST. | Conf 1.00 || $340.00 CALL | DTE 5 | Vol 8211 | OI 3001 | IV 18.3% | Delta +0.31 | Gamma 0.0489 | Premium $1,231,650 | BUY EST. | Conf 0.90 || $327.50 CALL | DTE 5 | Vol 275 | OI 144 | IV 23.0% | Delta +0.84 | Gamma 0.0267 | Premium $253,688 | BUY EST. | Conf 1.00 || $342.50 CALL | DTE 3 | Vol 14941 | OI 2024 | IV 14.1% | Delta +0.07 | Gamma 0.0330 | Premium $328,702 | BUY EST. | Conf 1.00 || $335.00 CALL | DTE 21 | Vol 979 | OI 1332 | IV 23.2% | Delta +0.55 | Gamma 0.0212 | Premium $741,592 | BUY EST. | Conf 0.86","$337.50 PUT | DTE 3 | Vol 3755 | OI 1113 | IV 18.2% | Delta -0.59 | Gamma 0.0703 | Premium $1,087,072 | BUY EST. | Conf 1.00 || $335.00 PUT | DTE 3 | Vol 12990 | OI 2433 | IV 15.8% | Delta -0.40 | Gamma 0.0798 | Premium $1,942,005 | BUY EST. | Conf 0.88 || $340.00 PUT | DTE 3 | Vol 465 | OI 164 | IV 19.0% | Delta -0.74 | Gamma 0.0563 | Premium $218,550 | SELL EST. | Conf 0.93 || $330.00 PUT | DTE 119 | Vol 3111 | OI 2022 | IV 23.5% | Delta -0.38 | Gamma 0.0084 | Premium $4,604,280 | SELL EST. | Conf 1.00 || $330.00 PUT | DTE 3 | Vol 10381 | OI 2570 | IV 16.2% | Delta -0.10 | Gamma 0.0355 | Premium $373,716 | BUY EST. | Conf 1.00",BULLISH RISK-REVERSAL EST.,200.6606898006401,332.5,5.0,541800.0,330.0,5.0,274320.0
AMD,559.8200073242188,2768,13,0,154,1464,1304,708598634.0,116789229.0,0.7170076415334932,CALL DOMINANT,570.0,520.0,,,,"$560.00 CALL | DTE 3 | Vol 3681 | OI 275 | IV 30.3% | Delta +0.51 | Gamma 0.0259 | Premium $2,539,890 | SELL EST. | Conf 1.00 || $547.50 CALL | DTE 3 | Vol 2272 | OI 226 | IV 33.2% | Delta +0.78 | Gamma 0.0177 | Premium $3,413,680 | SELL EST. | Conf 1.00 || $557.50 CALL | DTE 3 | Vol 1629 | OI 140 | IV 31.4% | Delta +0.57 | Gamma 0.0247 | Premium $1,352,070 | SELL EST. | Conf 1.00 || $545.00 CALL | DTE 5 | Vol 1698 | OI 181 | IV 43.5% | Delta +0.71 | Gamma 0.0119 | Premium $3,514,860 | SELL EST. | Conf 0.88 || $550.00 CALL | DTE 5 | Vol 573 | OI 187 | IV 42.1% | Delta +0.65 | Gamma 0.0134 | Premium $988,425 | SELL EST. | Conf 1.00","$555.00 PUT | DTE 7 | Vol 275 | OI 90 | IV 45.5% | Delta -0.43 | Gamma 0.0111 | Premium $340,312 | BUY EST. | Conf 0.82 || $560.00 PUT | DTE 7 | Vol 182 | OI 114 | IV 45.2% | Delta -0.48 | Gamma 0.0114 | Premium $262,080 | BUY EST. | Conf 0.85 || $560.00 PUT | DTE 91 | Vol 520 | OI 241 | IV 52.3% | Delta -0.43 | Gamma 0.0027 | Premium $3,047,200 | BUY EST. | Conf 1.00 || $540.00 PUT | DTE 21 | Vol 358 | OI 149 | IV 49.9% | Delta -0.35 | Gamma 0.0055 | Premium $628,290 | BUY EST. | Conf 1.00 || $537.50 PUT | DTE 7 | Vol 428 | OI 101 | IV 46.1% | Delta -0.25 | Gamma 0.0089 | Premium $265,360 | SELL EST. | Conf 1.00",BULLISH RISK-REVERSAL EST.,191.799684857479,570.0,3.0,646250.0,537.5,7.0,265360.0
HOOD,119.81999969482422,1255,11,0,154,654,601,212399034.5,32127843.0,0.7372244447852159,CALL DOMINANT,120.0,115.0,,,,"$119.00 CALL | DTE 7 | Vol 4503 | OI 561 | IV 57.1% | Delta +0.55 | Gamma 0.0417 | Premium $2,003,835 | BUY EST. | Conf 1.00 || $116.00 CALL | DTE 7 | Vol 4333 | OI 1115 | IV 63.3% | Delta +0.66 | Gamma 0.0348 | Premium $2,848,948 | SELL EST. | Conf 0.82 || $119.00 CALL | DTE 14 | Vol 819 | OI 270 | IV 60.4% | Delta +0.55 | Gamma 0.0279 | Premium $511,875 | SELL EST. | Conf 1.00 || $114.00 CALL | DTE 7 | Vol 1101 | OI 632 | IV 58.1% | Delta +0.75 | Gamma 0.0331 | Premium $834,008 | SELL EST. | Conf 1.00 || $122.00 CALL | DTE 7 | Vol 5357 | OI 1826 | IV 57.0% | Delta +0.43 | Gamma 0.0415 | Premium $1,647,278 | BUY EST. | Conf 0.83","$119.00 PUT | DTE 14 | Vol 657 | OI 136 | IV 58.0% | Delta -0.45 | Gamma 0.0290 | Premium $341,640 | SELL EST. | Conf 1.00 || $120.00 PUT | DTE 14 | Vol 828 | OI 643 | IV 58.1% | Delta -0.48 | Gamma 0.0292 | Premium $474,030 | BUY EST. | Conf 1.00 || $127.00 PUT | DTE 7 | Vol 520 | OI 10 | IV 64.3% | Delta -0.73 | Gamma 0.0312 | Premium $474,500 | BUY EST. | Conf 0.83 || $116.00 PUT | DTE 14 | Vol 804 | OI 80 | IV 58.0% | Delta -0.36 | Gamma 0.0275 | Premium $307,530 | BUY EST. | Conf 1.00 || $115.00 PUT | DTE 7 | Vol 3807 | OI 3446 | IV 56.7% | Delta -0.28 | Gamma 0.0360 | Premium $753,786 | SELL EST. | Conf 1.00",BULLISH RISK-REVERSAL EST.,203.14834977964625,119.0,7.0,2003835.0,115.0,7.0,753786.0
QQQ,721.4500122070312,5209,18,0,154,2631,2578,1710485250.0,598914800.0,0.48132433789459733,CALL DOMINANT,720.0,715.0,,,,"$717.00 CALL | DTE 3 | Vol 45712 | OI 1838 | IV 10.5% | Delta +0.76 | Gamma 0.0459 | Premium $25,964,416 | BUY EST. | Conf 1.00 || $719.00 CALL | DTE 3 | Vol 40953 | OI 1427 | IV 9.8% | Delta +0.66 | Gamma 0.0568 | Premium $17,589,314 | BUY EST. | Conf 1.00 || $720.00 CALL | DTE 5 | Vol 76364 | OI 1856 | IV 12.7% | Delta +0.57 | Gamma 0.0365 | Premium $40,969,286 | BUY EST. | Conf 1.00 || $718.00 CALL | DTE 4 | Vol 5835 | OI 389 | IV 12.2% | Delta +0.66 | Gamma 0.0398 | Premium $3,457,238 | BUY EST. | Conf 1.00 || $722.00 CALL | DTE 3 | Vol 25796 | OI 2234 | IV 8.9% | Delta +0.48 | Gamma 0.0684 | Premium $6,203,938 | SELL EST. | Conf 1.00","$720.00 PUT | DTE 3 | Vol 25858 | OI 1719 | IV 8.2% | Delta -0.38 | Gamma 0.0704 | Premium $4,654,440 | BUY EST. | Conf 1.00 || $721.00 PUT | DTE 3 | Vol 7592 | OI 135 | IV 8.0% | Delta -0.45 | Gamma 0.0759 | Premium $1,647,464 | BUY EST. | Conf 1.00 || $718.00 PUT | DTE 3 | Vol 40347 | OI 829 | IV 8.8% | Delta -0.26 | Gamma 0.0564 | Premium $5,003,028 | BUY EST. | Conf 1.00 || $717.00 PUT | DTE 3 | Vol 49870 | OI 1302 | IV 8.9% | Delta -0.21 | Gamma 0.0493 | Premium $5,061,805 | BUY EST. | Conf 1.00 || $719.00 PUT | DTE 4 | Vol 5219 | OI 121 | IV 10.3% | Delta -0.36 | Gamma 0.0481 | Premium $1,226,465 | BUY EST. | Conf 1.00",BULLISH RISK-REVERSAL EST.,207.97344262326422,717.0,3.0,25964416.0,715.0,7.0,3329917.5000000005
XLE,64.30999755859375,1135,14,0,119,581,554,124623060.0,8826226.0,0.8677216452098515,CALL DOMINANT,65.0,63.0,,,,"$53.00 CALL | DTE 28 | Vol 2186 | OI 943 | IV 68.7% | Delta +0.87 | Gamma 0.0173 | Premium $2,677,850 | SELL EST. | Conf 1.00 || $64.00 CALL | DTE 3 | Vol 1312 | OI 124 | IV 91.9% | Delta +0.54 | Gamma 0.0741 | Premium $171,872 | SELL EST. | Conf 0.88 || $65.00 CALL | DTE 35 | Vol 757 | OI 84 | IV 28.5% | Delta +0.49 | Gamma 0.0702 | Premium $74,943 | BUY EST. | Conf 0.82 || $66.00 CALL | DTE 91 | Vol 1032 | OI 2663 | IV 28.0% | Delta +0.48 | Gamma 0.0443 | Premium $268,836 | BUY EST. | Conf 0.92 || $64.00 CALL | DTE 7 | Vol 957 | OI 194 | IV 22.1% | Delta +0.58 | Gamma 0.1990 | Premium $58,377 | BUY EST. | Conf 0.81","$63.00 PUT | DTE 5 | Vol 3112 | OI 23 | IV 89.2% | Delta -0.40 | Gamma 0.0575 | Premium $714,204 | SELL EST. | Conf 0.95 || $60.50 PUT | DTE 7 | Vol 7027 | OI 319 | IV 109.3% | Delta -0.31 | Gamma 0.0365 | Premium $1,686,480 | SELL EST. | Conf 0.98 || $64.00 PUT | DTE 7 | Vol 3318 | OI 2479 | IV 29.0% | Delta -0.44 | Gamma 0.1525 | Premium $223,965 | BUY EST. | Conf 0.82 || $66.00 PUT | DTE 28 | Vol 1108 | OI 2756 | IV 40.7% | Delta -0.56 | Gamma 0.0544 | Premium $370,626 | SELL EST. | Conf 0.81 || $62.00 PUT | DTE 63 | Vol 563 | OI 733 | IV 47.7% | Delta -0.38 | Gamma 0.0298 | Premium $151,447 | SELL EST. | Conf 0.87",BULLISH RISK-REVERSAL EST.,195.68863275146947,65.0,3.0,48216.0,63.0,5.0,714204.0
PLTR,177.63999938964844,1301,11,0,154,668,633,318208092.5,37954679.5,0.7868689122848583,CALL DOMINANT,170.0,170.0,,,,"$177.50 CALL | DTE 7 | Vol 9560 | OI 1153 | IV 41.3% | Delta +0.52 | Gamma 0.0392 | Premium $4,110,800 | BUY EST. | Conf 1.00 || $185.00 CALL | DTE 7 | Vol 29094 | OI 4917 | IV 41.5% | Delta +0.25 | Gamma 0.0313 | Premium $4,596,852 | BUY EST. | Conf 0.87 || $172.50 CALL | DTE 14 | Vol 444 | OI 340 | IV 45.6% | Delta +0.65 | Gamma 0.0233 | Premium $411,810 | BUY EST. | Conf 1.00 || $160.00 CALL | DTE 7 | Vol 766 | OI 606 | IV 50.4% | Delta +0.94 | Gamma 0.0098 | Premium $1,378,800 | SELL EST. | Conf 1.00 || $175.00 CALL | DTE 14 | Vol 1058 | OI 1997 | IV 45.2% | Delta +0.59 | Gamma 0.0247 | Premium $822,595 | BUY EST. | Conf 1.00","$180.00 PUT | DTE 7 | Vol 1166 | OI 1664 | IV 42.3% | Delta -0.57 | Gamma 0.0377 | Premium $658,790 | SELL EST. | Conf 0.90 || $170.00 PUT | DTE 7 | Vol 5250 | OI 5618 | IV 42.9% | Delta -0.22 | Gamma 0.0278 | Premium $832,125 | SELL EST. | Conf 1.00 || $172.50 PUT | DTE 14 | Vol 706 | OI 327 | IV 44.8% | Delta -0.35 | Gamma 0.0237 | Premium $284,165 | BUY EST. | Conf 0.87 || $190.00 PUT | DTE 7 | Vol 140 | OI 195 | IV 44.8% | Delta -0.85 | Gamma 0.0211 | Premium $185,500 | BUY EST. | Conf 1.00 || $167.50 PUT | DTE 7 | Vol 2875 | OI 2416 | IV 44.1% | Delta -0.16 | Gamma 0.0222 | Premium $316,250 | SELL EST. | Conf 0.83",BULLISH RISK-REVERSAL EST.,202.36094553576999,177.5,7.0,4110800.000000001,170.0,7.0,832125.0
AMZN,253.7100067138672,1130,13,0,154,580,550,170566436.5,71024938.5,0.4120242206494334,CALL DOMINANT,260.0,250.0,,,,"$245.00 CALL | DTE 3 | Vol 7380 | OI 325 | IV 27.4% | Delta +0.92 | Gamma 0.0227 | Premium $6,125,400 | BUY EST. | Conf 1.00 || $242.50 CALL | DTE 3 | Vol 8389 | OI 85 | IV 35.3% | Delta +0.92 | Gamma 0.0175 | Premium $9,081,092 | BUY EST. | Conf 1.00 || $240.00 CALL | DTE 3 | Vol 7323 | OI 141 | IV 41.0% | Delta +0.94 | Gamma 0.0133 | Premium $10,105,740 | BUY EST. | Conf 1.00 || $237.50 CALL | DTE 3 | Vol 4079 | OI 189 | IV 45.5% | Delta +0.95 | Gamma 0.0101 | Premium $6,638,572 | BUY EST. | Conf 1.00 || $255.00 CALL | DTE 3 | Vol 21968 | OI 2891 | IV 16.6% | Delta +0.38 | Gamma 0.0998 | Premium $2,328,608 | BUY EST. | Conf 0.85","$262.50 PUT | DTE 3 | Vol 3986 | OI 31 | IV 41.2% | Delta -0.81 | Gamma 0.0285 | Premium $3,716,945 | SELL EST. | Conf 1.00 || $257.50 PUT | DTE 3 | Vol 2322 | OI 134 | IV 19.5% | Delta -0.79 | Gamma 0.0640 | Premium $992,655 | SELL EST. | Conf 1.00 || $265.00 PUT | DTE 3 | Vol 4311 | OI 2 | IV 48.3% | Delta -0.83 | Gamma 0.0225 | Premium $5,086,980 | SELL EST. | Conf 0.94 || $252.50 PUT | DTE 3 | Vol 5833 | OI 354 | IV 17.4% | Delta -0.37 | Gamma 0.0942 | Premium $714,542 | SELL EST. | Conf 0.80 || $260.00 PUT | DTE 28 | Vol 3859 | OI 5503 | IV 28.7% | Delta -0.59 | Gamma 0.0193 | Premium $4,399,260 | SELL EST. | Conf 1.00",BULLISH RISK-REVERSAL EST.,202.13313191021106,262.5,7.0,340480.0,257.5,3.0,992655.0
