symbol,option_type,current_price,strike,expiration,DTE,bid,ask,lastPrice,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,collected_at,mid_price,bid_ask_spread,relative_spread,volume_oi_ratio,moneyness,distance_pct,contract_multiplier,estimated_traded_premium,price_source,volume_source,oi_source,iv_source,mid_price_source,premium_source,underlying_price,delta,gamma,vega,delta_source,gamma_source,vega_source,greeks_status
AAPL,CALL,313.3299865722656,260.0,2026-08-10,2,52.05,55.25,53.4,11.860001,28.550795,85,35,1.0888717431640624,True,REGULAR,USD,2026-08-08 16:03:01 UTC,53.65,3.200000000000003,0.059645852749301,2.4285714285714284,0.8297960972210818,-17.020390277891813,100,456025.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.9908080860330052,0.0009803884233357404,0.005742697676462723,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,265.0,2026-08-10,2,47.05,50.25,47.66,6.959999,17.100735,89,36,0.99414068359375,True,REGULAR,USD,2026-08-08 16:03:01 UTC,48.65,3.200000000000003,0.065775950668037,2.4722222222222223,0.8457537144753334,-15.424628552466658,100,432985.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.9897284570351567,0.0011832196213497253,0.006327822105429994,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,270.0,2026-08-10,2,42.0,45.25,42.68,2.5800018,6.43392,109,49,0.8876964355468748,True,REGULAR,USD,2026-08-08 16:03:01 UTC,43.625,3.25,0.0744985673352435,2.224489795918368,0.861711331729585,-13.8288668270415,100,475512.5,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.9893101115383411,0.0013720104836329788,0.006551835083792267,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,275.0,2026-08-10,2,37.05,40.25,37.65,4.9000015,14.961837,125,60,0.807619111328125,True,REGULAR,USD,2026-08-08 16:03:01 UTC,38.65,3.200000000000003,0.0827943078913325,2.083333333333333,0.8776689489838366,-12.233105101616342,100,483125.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.9866620477113268,0.0018271672473072478,0.007938271358605153,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,280.0,2026-08-10,2,32.65,34.75,33.25,2.5300007,8.23568,73,27,0.73437765625,True,REGULAR,USD,2026-08-08 16:03:01 UTC,33.7,2.1000000000000014,0.0623145400593472,2.703703703703704,0.8936265662380881,-10.637343376191184,100,246010.00000000003,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.9821402637144006,0.0025816871251451586,0.010199153195761979,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,285.0,2026-08-10,2,27.0,30.25,27.65,0.17000008,0.618632,56,22,0.6113320117187502,True,REGULAR,USD,2026-08-08 16:03:01 UTC,28.625,3.25,0.1135371179039301,2.5454545454545454,0.9095841834923396,-9.041581650766028,100,160300.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.9830665733681416,0.00296341818965214,0.009745657205340836,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,290.0,2026-08-10,2,22.4,25.25,22.74,-2.5599995,-10.118575,76,30,0.5800823242187501,True,REGULAR,USD,2026-08-08 16:03:01 UTC,23.825,2.8500000000000014,0.1196222455403988,2.533333333333333,0.9255418007465912,-7.44581992534087,100,181070.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.9662661676739801,0.005571866704239506,0.017387270147672395,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,292.5,2026-08-10,2,19.55,22.75,20.15,-0.95000076,-4.502373,111,47,0.7861349511718749,True,REGULAR,USD,2026-08-08 16:03:01 UTC,21.15,3.1999999999999997,0.1513002364066193,2.3617021276595747,0.9335206093737172,-6.647939062628291,100,234765.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.8878199731778134,0.010458656412338375,0.04422970598283262,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,295.0,2026-08-10,2,17.8,19.6,17.75,0.75,4.4117646,632,334,0.6252478881835939,True,REGULAR,USD,2026-08-08 16:03:01 UTC,18.700000000000003,1.8000000000000007,0.0962566844919786,1.8922155688622757,0.9414994180008428,-5.850058199915712,100,1181840.0000000002,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.908295991785641,0.011354870785542459,0.03819227083390366,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,297.5,2026-08-10,2,15.15,17.75,15.65,1.0,6.8259387,68,31,0.6560092993164064,True,REGULAR,USD,2026-08-08 16:03:01 UTC,16.45,2.6,0.1580547112462006,2.193548387096774,0.9494782266279688,-5.052177337203133,100,111860.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.8635468791870671,0.014374775531270053,0.0507285114604815,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,300.0,2026-08-10,2,12.95,14.65,13.15,1.75,15.350878,644,304,0.5097705273437501,True,REGULAR,USD,2026-08-08 16:03:01 UTC,13.8,1.700000000000001,0.1231884057971015,2.1184210526315788,0.9574570352550944,-4.254296474490555,100,888720.0000000001,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.8803577338664548,0.016883342674788783,0.04629927703514431,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,302.5,2026-08-10,2,10.15,11.95,11.5,1.5,15.000001,135,1312,0.418951123046875,True,REGULAR,USD,2026-08-08 16:03:01 UTC,11.05,1.799999999999999,0.1628959276018098,0.1028963414634146,0.9654358438822204,-3.456415611777976,100,149175.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.8763283859850182,0.02102710035618993,0.04738968236408997,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,305.0,2026-08-10,2,7.7,8.9,8.65,0.8499994,10.8974285,693,3593,0.278327529296875,True,REGULAR,USD,2026-08-08 16:03:01 UTC,8.3,1.2000000000000002,0.144578313253012,0.1928750347898692,0.973414652509346,-2.6585347490653977,100,575190.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.9080401199305292,0.025560808189048607,0.0382711750900379,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,307.5,2026-08-10,2,5.7,6.0,6.22,0.3199997,5.4237237,1670,4991,0.1518639501953125,True,REGULAR,USD,2026-08-08 16:03:01 UTC,5.85,0.2999999999999998,0.0512820512820512,0.3346022841114005,0.981393461136472,-1.8606538863528184,100,976950.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.9550456182510779,0.02688859060308824,0.02196664757671181,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,310.0,2026-08-10,2,3.65,3.95,3.85,-0.13000011,-3.2663345,5453,3743,0.1615074084472656,True,REGULAR,USD,2026-08-08 16:03:01 UTC,3.8,0.3000000000000002,0.0789473684210527,1.4568527918781726,0.9893722697635976,-1.06277302364024,100,2072140.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.8206965188738249,0.06987838112278495,0.060712250953199716,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,312.5,2026-08-10,2,2.06,2.21,2.21,-0.38999987,-14.999996,25259,2582,0.1557701611328125,True,REGULAR,USD,2026-08-08 16:03:01 UTC,2.135,0.1499999999999999,0.0702576112412177,9.78272656855151,0.9973510783907232,-0.2648921609276611,100,5392796.5,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.6005641860944029,0.10689479528352278,0.08957398185048886,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,315.0,2026-08-10,2,1.0,1.09,1.1,-0.49,-30.81761,46229,6956,0.1586998193359375,False,REGULAR,USD,2026-08-08 16:03:01 UTC,1.045,0.09,0.0861244019138756,6.645917193789535,1.005329887017849,0.5329887017849175,100,4830930.5,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.33433705975740013,0.09889881301322064,0.08443228891978363,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,317.5,2026-08-10,2,0.48,0.54,0.5,-0.42000002,-45.652176,19096,6757,0.1716391430664062,False,REGULAR,USD,2026-08-08 16:03:01 UTC,0.51,0.06,0.1176470588235295,2.8261062601746336,1.013308695644975,1.3308695644974964,100,973896.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.15458171196529458,0.05975021592208504,0.055169223076646456,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,320.0,2026-08-10,2,0.2,0.26,0.24,-0.31,-56.363636,17155,8380,0.1840901904296875,False,REGULAR,USD,2026-08-08 16:03:01 UTC,0.23,0.06,0.2608695652173913,2.0471360381861574,1.0212875042721008,2.128750427210075,100,394565.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.06389593243988018,0.029303346722095454,0.02901943296395182,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,322.5,2026-08-10,2,0.11,0.12,0.11,-0.22000001,-66.66667,3227,5034,0.194343994140625,False,REGULAR,USD,2026-08-08 16:03:01 UTC,0.1149999999999999,0.0099999999999999,0.0869565217391304,0.6410409217322209,1.0292663128992263,2.926631289922653,100,37110.49999999999,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.02369862463691863,0.012396884131022369,0.0129605883671475,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,325.0,2026-08-10,2,0.03,0.06,0.06,-0.14,-70.0,3411,4678,0.2080157324218749,False,REGULAR,USD,2026-08-08 16:03:01 UTC,0.045,0.03,0.6666666666666666,0.7291577597263788,1.0372451215263525,3.724512152635232,100,15349.5,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.009312911970938587,0.005190976595247996,0.0058087984043147375,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,327.5,2026-08-10,2,0.02,0.04,0.02,-0.120000005,-85.71429,782,778,0.229499892578125,False,REGULAR,USD,2026-08-08 16:03:01 UTC,0.03,0.02,0.6666666666666667,1.0051413881748072,1.045223930153478,4.522393015347811,100,2346.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.0049083262167838315,0.00267206987180235,0.003298916691155289,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,330.0,2026-08-10,2,0.01,0.02,0.01,-0.080000006,-88.88889,1729,2239,0.2402419726562499,False,REGULAR,USD,2026-08-08 16:03:01 UTC,0.015,0.01,0.6666666666666667,0.7722197409557838,1.053202738780604,5.32027387806039,100,2593.5,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.0019042364236775966,0.0010882484390209554,0.0014064295722874046,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,332.5,2026-08-10,2,0.0,0.02,0.01,-0.060000002,-85.71429,179,1032,0.2695385546875,False,REGULAR,USD,2026-08-08 16:03:01 UTC,0.01,0.02,2.0,0.1734496124031007,1.0611815474077295,6.118154740772969,100,179.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.001561780975832816,0.0008098174619759088,0.001174218947063929,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,335.0,2026-08-10,2,0.0,0.03,0.01,-0.03,-75.0,299,1614,0.3144599804687499,False,REGULAR,USD,2026-08-08 16:03:01 UTC,0.015,0.03,2.0,0.1852540272614622,1.0691603560348557,6.916035603485547,100,448.5,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.0021732930040109233,0.0009373621916483108,0.0015856738599208556,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,337.5,2026-08-10,2,0.0,0.02,0.01,-0.02,-66.66667,74,275,0.3281317187499999,False,REGULAR,USD,2026-08-08 16:03:01 UTC,0.01,0.02,2.0,0.2690909090909091,1.0771391646619812,7.713916466198126,100,74.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.0011902422088472253,0.0005189993761558133,0.0009161278812307483,CALCULATED,CALCULATED,CALCULATED,CALCULATED
AAPL,CALL,313.3299865722656,340.0,2026-08-10,2,0.0,0.01,0.01,-0.01,-50.0,64,857,0.3320379296875,False,REGULAR,USD,2026-08-08 16:03:01 UTC,0.005,0.01,2.0,0.0746791131855309,1.085117973289107,8.511797328910705,100,32.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,313.3299865722656,0.0004793565688491763,0.00022193188548437164,0.0003964135140662132,CALCULATED,CALCULATED,CALCULATED,CALCULATED
