special_rank,ticker,structure,special_score,current_price,call_strike,call_expiration,call_DTE,call_volume,call_open_interest,call_premium,call_delta,call_gamma,call_vega,call_iv,call_flow_score,put_strike,put_expiration,put_DTE,put_volume,put_open_interest,put_premium,put_delta,put_gamma,put_vega,put_iv,put_flow_score,combined_premium,combined_volume,combined_oi,dte_distance,expiration_distance,special_reason,data_source
1,SPY,CALL BUY + PUT SELL,74.92,773.26,775.0,2026-08-21,13,29584,55344,17868736.0,0.4891137975669453,0.0238707912919166,0.5819680315169312,0.1144802908325195,85.447402077517,772.0,2026-08-14,6,15403,3000,6192005.999999999,-0.4320891694216668,0.0364567611423148,0.3897722496683216,0.1087735607910156,89.60398874983086,24060742.0,44987,58344,7,7,CALL BUY confirmed | PUT SELL confirmed | Bullish delta confirmed | Bullish strike structure confirmed,CALCULATED_FROM_UNUSUAL_FLOW
2,SPCX,CALL BUY + PUT SELL,71.56,133.11,140.0,2026-08-14,6,30858,5643,14348970.000000002,0.3743201625964186,0.0220126147981921,0.0646775989655041,1.0087940185546875,92.06057020890148,130.0,2026-08-14,6,9564,2386,5260200.0,-0.3976298857756424,0.0236349734615358,0.0658307340608325,0.9562992651367188,92.41935144002076,19609170.0,40422,8029,0,0,CALL BUY confirmed | PUT SELL confirmed | Bullish delta confirmed | Bullish strike structure confirmed,CALCULATED_FROM_UNUSUAL_FLOW
3,GLD,CALL BUY + PUT SELL,64.55,398.47,470.0,2026-11-20,104,44297,1794,18826225.0,0.1689467287812929,0.0042500804623865,0.5361005823042934,0.2788158056640625,80.0994227585576,385.0,2026-11-20,104,70,302,84700.0,-0.3260615651883054,0.0077530619874144,0.7665566609984311,0.2185441915893554,72.86784557806088,18910925.0,44367,2096,0,0,CALL BUY confirmed | PUT SELL confirmed | Bullish delta confirmed | Bullish strike structure confirmed,CALCULATED_FROM_UNUSUAL_FLOW
4,MU,CALL BUY + PUT SELL,64.55,877.57,900.0,2026-08-10,2,12741,4048,10861702.499999998,0.2740613651735556,0.0094175827039297,0.2163900818288086,0.5444991839599609,88.94829606135525,870.0,2026-08-10,2,3832,127,5431860.000000001,-0.4071335405969867,0.0106634221692804,0.252101899576608,0.5602460968017577,90.49302911452676,16293562.5,16573,4175,0,0,CALL BUY confirmed | PUT SELL confirmed | Bullish delta confirmed | Bullish strike structure confirmed,CALCULATED_FROM_UNUSUAL_FLOW
5,TSLA,CALL BUY + PUT SELL,63.92,328.58,330.0,2026-08-14,6,16555,3108,11009075.0,0.4823911650360333,0.0232941693740255,0.1679024516957019,0.4061338684082031,90.56823587356484,325.0,2026-08-14,6,4238,841,2288520.0,-0.3991454632998316,0.0233104277381957,0.1626665768082095,0.3931945446777344,89.84111947419586,13297595.0,20793,3949,0,0,CALL BUY confirmed | PUT SELL confirmed | Bullish delta confirmed | Bullish strike structure confirmed,CALCULATED_FROM_UNUSUAL_FLOW
6,QQQ,CALL BUY + PUT SELL,59.41,723.03,730.0,2026-08-10,2,23103,5845,1617209.9999999998,0.1334857689532457,0.0354171563640529,0.1153073781741557,0.1136563244628906,87.66494692468257,720.0,2026-08-10,2,39483,2623,8330913.000000002,-0.322858460610575,0.0511028799917147,0.1921066724561088,0.1312342736816406,89.76386409126975,9948123.000000002,62586,8468,0,0,CALL BUY confirmed | PUT SELL confirmed | Bullish delta confirmed | Bullish strike structure confirmed,CALCULATED_FROM_UNUSUAL_FLOW
7,AAPL,CALL BUY + PUT SELL,55.69,313.33,315.0,2026-08-10,2,46229,6956,4830930.5,0.3343370597574001,0.0988988130132206,0.0844322889197836,0.1586998193359375,89.95835288112768,312.5,2026-08-12,4,1321,147,385732.0,-0.4453518091258222,0.0510321260041252,0.1296269454068042,0.2360916235351562,89.56990029136948,5216662.5,47550,7103,2,2,CALL BUY confirmed | PUT SELL confirmed | Bullish delta confirmed | Bullish strike structure confirmed,CALCULATED_FROM_UNUSUAL_FLOW
8,NVDA,CALL BUY + PUT SELL,53.96,223.96,230.0,2026-08-21,13,19656,81227,6928739.999999999,0.3611051406350541,0.0257579276128846,0.1582929879989241,0.3440007006835937,82.72732993626639,217.5,2026-08-21,13,1339,2579,428480.0,-0.3066401207487529,0.0241570639398495,0.1484023472740563,0.3438786315917969,84.10763309262727,7357219.999999999,20995,83806,0,0,CALL BUY confirmed | PUT SELL confirmed | Bullish delta confirmed | Bullish strike structure confirmed,CALCULATED_FROM_UNUSUAL_FLOW
9,SNDK,CALL BUY + PUT SELL,53.4,1212.21,1230.0,2026-08-14,6,518,45,2957779.9999999995,0.4804251727939592,0.0026341121047775,0.6192897526183255,0.9732973861694336,88.6009945959794,1180.0,2026-08-14,6,531,218,2503665.0,-0.3860785529870938,0.0026245559417933,0.5945810916229626,0.9378668322753908,87.4783556559143,5461445.0,1049,263,0,0,CALL BUY confirmed | PUT SELL confirmed | Bullish delta confirmed | Bullish strike structure confirmed,CALCULATED_FROM_UNUSUAL_FLOW
10,NBIS,CALL BUY + PUT SELL,51.36,187.97,200.0,2026-08-21,13,1978,6486,2858210.0,0.4523278397256161,0.0084826179676129,0.1405103365240609,1.3162875982666014,84.90936477112842,187.5,2026-08-21,13,261,175,498510.00000000006,-0.4441432561882215,0.0084246522672078,0.1401325348963206,1.3217807348632813,89.05857183275158,3356720.0,2239,6661,0,0,CALL BUY confirmed | PUT SELL confirmed | Bullish delta confirmed | Bullish strike structure confirmed,CALCULATED_FROM_UNUSUAL_FLOW
11,MSTR,CALL BUY + PUT SELL,51.29,100.01,101.0,2026-08-14,6,7563,11871,2571420.0000000005,0.4769046301245869,0.0444837003947377,0.051068620682705,0.6982452050781252,89.7555221119082,97.0,2026-08-14,6,856,212,207152.0,-0.3450712908236781,0.0418570527032321,0.047246675553684,0.6865265722656251,90.323857845229,2778572.0000000005,8419,12083,0,0,CALL BUY confirmed | PUT SELL confirmed | Bullish delta confirmed | Bullish strike structure confirmed,CALCULATED_FROM_UNUSUAL_FLOW
