ticker,current_price,call_wall,put_wall,support,resistance,call_gex,put_gex,net_gex,structure,price_location,gex_structure,wall_structure,data_source
XOM,164.77000427246094,165.0,160.0,160.0,165.0,229645585.57403958,-63086148.9564213,166559436.61761826,POSITIVE GEX STRUCTURE,ABOVE SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
CVX,205.759994506836,207.5,202.5,202.5,207.5,218879151.93841898,-41150224.74790743,177728927.19051155,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
CVS,93.6500015258789,95.0,92.5,92.5,95.0,24569681.203275338,-26306612.59528534,-1736931.3920100033,NEGATIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,NEGATIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
AMZN,265.8399963378906,270.0,265.0,265.0,270.0,1383735252.7265768,-499458594.17908776,884276658.547489,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
AAPL,316.8299865722656,320.0,315.0,315.0,320.0,2042862187.915041,-826684174.8271334,1216178013.0879076,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
MSFT,484.30999755859375,490.0,480.0,480.0,490.0,2363878455.7859974,-783531239.6445575,1580347216.14144,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
MRK,152.1999969482422,155.0,135.0,135.0,155.0,50301168.950682685,-7699476.962319761,42601691.98836292,POSITIVE GEX STRUCTURE,ABOVE SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
QQQ,716.0800170898438,720.0,715.0,715.0,720.0,10757024137.55751,-12888098609.73886,-2131074472.1813488,NEGATIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,NEGATIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
SPY,769.0599975585938,770.0,765.0,765.0,770.0,21224613462.04606,-24841235629.210236,-3616622167.164177,NEGATIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,NEGATIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
PSX,242.2899932861328,247.5,235.0,235.0,247.5,14144572.308059622,-3712676.9331463324,10431895.37491329,POSITIVE GEX STRUCTURE,ABOVE SUPPORT | BELOW RESISTANCE,POSITIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
TGT,159.0,160.0,152.5,152.5,160.0,61803096.38785857,-18282141.4977945,43520954.89006407,POSITIVE GEX STRUCTURE,ABOVE SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
GLD,413.8399963378906,415.0,410.0,410.0,415.0,3430570880.8486996,-741967860.8533391,2688603019.9953604,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
TSLA,351.1199951171875,360.0,350.0,350.0,360.0,1043024078.1884983,-644327569.4044132,398696508.78408504,POSITIVE GEX STRUCTURE,NEAR SUPPORT | BELOW RESISTANCE,POSITIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
NBIS,223.8999938964844,230.0,220.0,220.0,230.0,106945477.05201238,-96386391.6527089,10559085.399303481,POSITIVE GEX STRUCTURE,NEAR SUPPORT | BELOW RESISTANCE,POSITIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
CRM,206.08999633789065,210.0,200.0,200.0,210.0,165017698.66786346,-72652956.14669117,92364742.52117229,POSITIVE GEX STRUCTURE,ABOVE SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
NVDA,217.5599975585937,220.0,215.0,215.0,220.0,2152567805.168559,-1196689328.2332058,955878476.9353533,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
WMT,114.3000030517578,115.0,110.0,110.0,115.0,121900268.58822484,-129263709.69419044,-7363441.105965599,NEGATIVE GEX STRUCTURE,ABOVE SUPPORT | NEAR RESISTANCE,NEGATIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
COF,220.72999572753903,225.0,220.0,220.0,225.0,42167021.963880666,-21713461.722514693,20453560.241365973,POSITIVE GEX STRUCTURE,NEAR SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
ECHO,88.43499755859375,90.0,85.0,85.0,90.0,25223192.889572684,-24001551.95000775,1221640.9395649321,POSITIVE GEX STRUCTURE,ABOVE SUPPORT | NEAR RESISTANCE,POSITIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
INTC,92.8000030517578,95.0,90.0,90.0,95.0,163660693.415695,-189879875.1315348,-26219181.715839803,NEGATIVE GEX STRUCTURE,ABOVE SUPPORT | BELOW RESISTANCE,NEGATIVE GEX,RANGE,STEP4_GAMMA_OI_GEX_PROXY
