rank,symbol,top20_score,max_flow_score,avg_flow_score,total_volume,total_premium,call_premium,put_premium,call_put_imbalance,max_volume_oi,avg_volume_oi,buy_premium_est,sell_premium_est,directional_ratio,flow_direction,estimated_direction,top_dte,top_call_options,top_put_options,selection_reason
1,NEE,94.68067726199847,90.79865980212423,50.23210071181182,130792,447183346.5,445347738.0,1835608.5,0.9917903539370736,2281.0,7.808699926522029,18981773.0,731219.0,0.9258134939637778,CALL DOMINANT,BUY EST. DOMINANT,17,CALL $75.00 DTE 17 Score 90.8 / CALL $65.00 DTE 17 Score 90.5 / CALL $65.00 DTE 24 Score 88.4,PUT $90.00 DTE 45 Score 87.6 / PUT $92.50 DTE 17 Score 86.2 / PUT $87.00 DTE 17 Score 83.8,Very high option flow score | Volume/OI surge | Large estimated premium | Call premium dominance | Buy-side estimate dominance
2,CVS,94.23254187248762,93.1261739944554,49.11786777217017,40236,121219628.0,119941435.0,1278193.0,0.978911121555331,7200.0,14.787863239496088,119424386.5,571113.5,0.9904810847073432,CALL DOMINANT,BUY EST. DOMINANT,3,CALL $85.00 DTE 3 Score 93.1 / CALL $72.50 DTE 17 Score 89.1 / CALL $57.50 DTE 17 Score 88.2,PUT $98.00 DTE 10 Score 83.9 / PUT $96.00 DTE 31 Score 81.9 / PUT $93.00 DTE 3 Score 79.1,Very high option flow score | Volume/OI surge | Large estimated premium | Call premium dominance | Buy-side estimate dominance
3,XOM,92.59768357981127,89.88340873028781,52.39454848264224,154595,410723251.5,406733337.5,3989914.0,0.9805712776891571,6336.2,28.53630204350061,2585009.0,8205028.0,-0.5208526161680447,CALL DOMINANT,SELL EST. DOMINANT,3,CALL $147.00 DTE 3 Score 89.9 / CALL $120.00 DTE 17 Score 88.8 / CALL $162.50 DTE 3 Score 88.3,PUT $160.00 DTE 3 Score 87.9 / PUT $160.00 DTE 10 Score 84.6 / PUT $175.00 DTE 45 Score 84.1,High option flow score | Volume/OI surge | Large estimated premium | Call premium dominance | Sell-side estimate dominance
4,AAPL,92.56071067387673,92.43071441435131,52.10555728012256,530314,238048025.0,200218142.0,37829883.0,0.6821659578986216,136.0,0.7851434943789002,32825425.0,73712272.5,-0.383778216156774,CALL DOMINANT,SELL EST. DOMINANT,1,CALL $312.50 DTE 1 Score 92.4 / CALL $315.00 DTE 1 Score 92.0 / CALL $317.50 DTE 1 Score 90.7,PUT $332.50 DTE 1 Score 91.4 / PUT $320.00 DTE 1 Score 91.1 / PUT $317.50 DTE 1 Score 90.8,Very high option flow score | Volume/OI surge | Large estimated premium | Call premium dominance | Sell-side estimate dominance
5,NVDA,91.92245600614193,93.83575523612556,52.67333652643286,1539397,643864579.5,473704911.5,170159668.0,0.47144268090616404,100.0,0.50939285609995,174206383.0,67580825.5,0.4409892407521633,CALL DOMINANT,BUY EST. DOMINANT,1,CALL $210.00 DTE 1 Score 93.8 / CALL $215.00 DTE 1 Score 93.2 / CALL $217.50 DTE 1 Score 92.9,PUT $225.00 DTE 1 Score 92.4 / PUT $222.50 DTE 1 Score 91.1 / PUT $220.00 DTE 1 Score 91.0,Very high option flow score | Volume/OI surge | Large estimated premium | Call premium dominance | Buy-side estimate dominance
6,AMZN,91.1492728904472,93.66359664270712,56.36258579962224,637803,343524612.5,225196730.5,118327882.0,0.3110951722563984,325.0,2.3367172254693633,81800419.0,88950704.0,-0.041875478616910766,CALL DOMINANT,MIXED / UNKNOWN,1,CALL $247.50 DTE 1 Score 93.7 / CALL $252.50 DTE 1 Score 93.6 / CALL $250.00 DTE 1 Score 93.3,PUT $272.50 DTE 1 Score 93.4 / PUT $267.50 DTE 1 Score 93.1 / PUT $270.00 DTE 1 Score 92.7,Very high option flow score | Volume/OI surge | Large estimated premium | Call premium dominance
7,SPY,91.0553891565466,92.03949134544906,52.110545657048974,3050966,1172338554.5,762485707.5,409852847.0,0.3007943901072137,20400.0,4.80020798213002,359745415.5,487519458.0,-0.15080767124473501,CALL DOMINANT,MIXED / UNKNOWN,1,CALL $760.00 DTE 1 Score 92.0 / CALL $761.00 DTE 1 Score 92.0 / CALL $759.00 DTE 1 Score 91.7,PUT $771.00 DTE 1 Score 92.0 / PUT $774.00 DTE 2 Score 91.9 / PUT $772.00 DTE 1 Score 91.6,Very high option flow score | Volume/OI surge | Large estimated premium | Call premium dominance
8,LQD,90.27996619933903,92.47938397792028,49.13267101891617,228002,44817998.0,3502749.5,41315248.5,-0.8436900505908363,228.66666666666666,1.455559579518278,365693.00000000006,28248519.5,-0.9744397648546155,PUT DOMINANT,SELL EST. DOMINANT,3,CALL $105.50 DTE 3 Score 92.5 / CALL $97.00 DTE 3 Score 90.4 / CALL $96.00 DTE 3 Score 89.8,PUT $102.00 DTE 3 Score 92.4 / PUT $105.00 DTE 10 Score 90.8 / PUT $103.00 DTE 17 Score 87.4,Very high option flow score | Volume/OI surge | Large estimated premium | Put premium dominance | Sell-side estimate dominance
9,SOXL,90.02832799528872,93.96545801070091,58.54143438698992,218441,185264143.0,65830913.0,119433230.0,-0.2893291498938356,302.0,1.175697919611176,41837630.5,47497588.5,-0.06335640146580936,PUT DOMINANT,MIXED / UNKNOWN,1,CALL $112.00 DTE 1 Score 94.0 / CALL $113.00 DTE 1 Score 93.8 / CALL $116.00 DTE 3 Score 92.6,PUT $118.00 DTE 3 Score 93.3 / PUT $113.00 DTE 1 Score 92.8 / PUT $123.00 DTE 3 Score 92.7,Very high option flow score | Volume/OI surge | Large estimated premium | Put premium dominance
10,TSLA,89.88821155563318,93.39491015521932,55.88298589624569,1560808,1558845141.0,819067861.5,739777279.5,0.05086495118375585,2672.0,5.104564516037703,800047706.5,219397439.5,0.5695748018206759,BALANCED,BUY EST. DOMINANT,1,CALL $357.50 DTE 1 Score 93.4 / CALL $355.00 DTE 1 Score 93.2 / CALL $360.00 DTE 1 Score 93.0,PUT $372.50 DTE 1 Score 93.0 / PUT $375.00 DTE 1 Score 92.9 / PUT $370.00 DTE 1 Score 92.6,Very high option flow score | Volume/OI surge | Large estimated premium | Buy-side estimate dominance
