symbol,option_type,current_price,strike,expiration,DTE,bid,ask,lastPrice,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,collected_at,mid_price,bid_ask_spread,relative_spread,volume_oi_ratio,moneyness,distance_pct,contract_multiplier,estimated_traded_premium,price_source,volume_source,oi_source,iv_source,mid_price_source,premium_source,underlying_price,delta,gamma,vega,delta_source,gamma_source,vega_source,greeks_status,trade_side_estimate,trade_side_source,open_close_estimate,open_close_source,flow_score,call_put_flow,estimated_directional_premium,flow_rank,option_count,total_volume,total_premium,call_premium,put_premium,call_put_premium_imbalance,symbol_flow_score,symbol_flow_rank,flow_reason
AMZN,CALL,274.4800109863281,257.5,2026-08-10,2,16.75,17.3,18.0,3.1999998,21.62162,4497,81,0.465825654296875,True,REGULAR,USD,2026-08-08 16:03:09 UTC,17.025,0.5500000000000007,0.0323054331864905,55.51851851851852,-0.06186246832806306,-6.186246832806306,100,7656142.499999999,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,274.4800109863281,0.9696409642903336,0.007260339778049,0.0139617200151084,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,93.70445114530494,7656142.499999999,0.0,1,1203,386778,257734395.5,206490952.5,51243443.0,0.6023546418739442,52.035319628109164,5,Volume/OI surge | Premium activity | Call premium dominance | Near-term concentration
AMZN,PUT,274.4800109863281,285.0,2026-08-10,2,10.05,10.9,9.55,-4.25,-30.7971,6243,427,0.3217841259765625,True,REGULAR,USD,2026-08-08 16:03:09 UTC,10.475000000000001,0.8499999999999996,0.0811455847255369,14.620608899297423,0.038326976801949623,3.832697680194962,100,6539542.500000001,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,274.4800109863281,-0.9403687022989256,0.0181323679090408,0.0240867227902911,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,93.59999689259361,-6539542.500000001,0.0,2,1203,386778,257734395.5,206490952.5,51243443.0,0.6023546418739442,52.035319628109164,5,Volume/OI surge | Premium activity | Call premium dominance | Near-term concentration
TSLA,CALL,328.5799865722656,315.0,2026-08-10,2,13.65,13.95,13.85,6.76,95.34556,4688,373,0.335944140625,True,REGULAR,USD,2026-08-08 16:03:24 UTC,13.8,0.2999999999999989,0.0217391304347825,12.568364611260053,-0.041329317448489625,-4.132931744848962,100,6469440.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,328.5799865722656,0.9571505523078788,0.0111511088015638,0.0221617713728562,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,93.47777774941035,6469440.0,0.0,3,2633,1161835,1403261093.0,448706899.5,954554193.5,-0.36047981129339274,81.90719716940089,1,Volume/OI surge | Premium activity | Put premium dominance | Near-term concentration
AMZN,CALL,274.4800109863281,267.5,2026-08-10,2,7.05,8.7,7.51,1.5500002,26.006714,4815,111,0.4436090795898437,True,REGULAR,USD,2026-08-08 16:03:09 UTC,7.875,1.6499999999999997,0.2095238095238094,43.37837837837838,-0.025429942826240268,-2.5429942826240266,100,3791812.5,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,274.4800109863281,0.7903193898671325,0.0319468195306029,0.05850414421748,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,93.3728969241748,3791812.5,0.0,4,1203,386778,257734395.5,206490952.5,51243443.0,0.6023546418739442,52.035319628109164,5,Volume/OI surge | Premium activity | Call premium dominance | Near-term concentration
TSLA,PUT,328.5799865722656,340.0,2026-08-10,2,11.8,12.15,13.05,-8.499999,-39.443153,4060,86,0.3452213916015625,True,REGULAR,USD,2026-08-08 16:03:24 UTC,11.975000000000001,0.3499999999999996,0.0292275574112734,47.2093023255814,0.0347556573571858,3.47556573571858,100,4861850.000000001,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,328.5799865722656,-0.905847233660309,0.0199967194719515,0.040839065821847,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,93.27181330769449,-4861850.000000001,0.0,5,2633,1161835,1403261093.0,448706899.5,954554193.5,-0.36047981129339274,81.90719716940089,1,Volume/OI surge | Premium activity | Put premium dominance | Near-term concentration
TSLA,CALL,328.5799865722656,320.0,2026-08-10,2,9.15,9.4,9.45,5.2,122.352936,16463,2495,0.3061592822265625,True,REGULAR,USD,2026-08-08 16:03:24 UTC,9.275,0.25,0.0269541778975741,6.598396793587175,-0.026112322487354542,-2.6112322487354542,100,15269432.500000002,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,328.5799865722656,0.8826852043187507,0.0264372605096538,0.0478832067864313,CALCULATED,CALCULATED,CALCULATED,CALCULATED,BUY EST.,ESTIMATED,OPEN EST.,ESTIMATED,93.11687813932208,15269432.500000002,15269432.500000002,6,2633,1161835,1403261093.0,448706899.5,954554193.5,-0.36047981129339274,81.90719716940089,1,Volume/OI surge | Premium activity | Put premium dominance | Buy-side estimate
TSLA,PUT,328.5799865722656,335.0,2026-08-10,2,7.55,7.8,7.5,-9.85,-56.772335,17091,71,0.3122627368164062,True,REGULAR,USD,2026-08-08 16:03:24 UTC,7.675,0.25,0.0325732899022801,240.71830985915494,0.019538662396050715,1.953866239605072,100,13117342.499999998,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,328.5799865722656,-0.792778317253169,0.0376492438583059,0.0695497809234356,CALCULATED,CALCULATED,CALCULATED,CALCULATED,SELL EST.,ESTIMATED,OPEN EST.,ESTIMATED,92.99369602724519,-13117342.499999998,-13117342.499999998,7,2633,1161835,1403261093.0,448706899.5,954554193.5,-0.36047981129339274,81.90719716940089,1,Volume/OI surge | Premium activity | Put premium dominance | Sell-side estimate
NVDA,CALL,223.9600067138672,212.5,2026-08-10,2,10.75,11.65,11.75,4.11,53.795815,4265,1757,0.372076591796875,True,REGULAR,USD,2026-08-08 16:02:57 UTC,11.2,0.9000000000000004,0.0803571428571428,2.42743312464428,-0.05116988020324793,-5.1169880203247935,100,4776800.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,223.9600067138672,0.9731228273724832,0.0100666119045036,0.0102942271957126,CALCULATED,CALCULATED,CALCULATED,CALCULATED,BUY EST.,ESTIMATED,OPEN EST.,ESTIMATED,92.94443161731272,4776800.0,4776800.0,8,2054,1540380,802710422.0,602290751.5,200419670.5,0.5006426601497396,73.5096399022461,3,Volume/OI surge | Premium activity | Call premium dominance | Buy-side estimate
TSLA,CALL,328.5799865722656,322.5,2026-08-10,2,7.15,7.4,7.44,4.16,126.82927,11157,942,0.30274134765625,True,REGULAR,USD,2026-08-08 16:03:24 UTC,7.275,0.25,0.0343642611683848,11.843949044585987,-0.018503825006787,-1.8503825006787,100,8116717.5,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,328.5799865722656,0.8035633329588117,0.037610106667497,0.0673590031317676,CALCULATED,CALCULATED,CALCULATED,CALCULATED,BUY EST.,ESTIMATED,OPEN EST.,ESTIMATED,92.77909079187144,8116717.5,8116717.5,9,2633,1161835,1403261093.0,448706899.5,954554193.5,-0.36047981129339274,81.90719716940089,1,Volume/OI surge | Premium activity | Put premium dominance | Buy-side estimate
NVDA,CALL,223.9600067138672,207.5,2026-08-10,2,15.75,16.65,16.72,4.1799994,33.33333,4608,1565,0.5019581054687501,True,REGULAR,USD,2026-08-08 16:02:57 UTC,16.2,0.8999999999999986,0.0555555555555554,2.944408945686901,-0.07349529478670093,-7.349529478670093,100,7464959.999999999,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,223.9600067138672,0.981187682886161,0.00552347500437,0.0076200520766985,CALCULATED,CALCULATED,CALCULATED,CALCULATED,BUY EST.,ESTIMATED,OPEN EST.,ESTIMATED,92.72053046700324,7464959.999999999,7464959.999999999,10,2054,1540380,802710422.0,602290751.5,200419670.5,0.5006426601497396,73.5096399022461,3,Volume/OI surge | Premium activity | Call premium dominance | Buy-side estimate
